Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,monthly_k,monthly_d,monthly_j,monthly_k_slope,monthly_d_slope,monthly_j_slope,golden_cross,death_cross,cross_status,bars_since_golden_cross,buy_signal,sell_signal,buy_signal_t1,sell_signal_t1,position,cash,original_cash,short_proceeds,equity,,,,,,long_positions,short_positions,margin_cash,returns,trade_count,win_count,loss_count,win_rate,position_type,dividends_received,cumulative_dividends,daily_margin_cost,daily_short_borrow_cost,daily_mmf_interest,cumulative_borrowing_costs,cumulative_mmf_interest,daily_return,peak_equity,drawdown,,cagr,sharpe_ratio,sortino_ratio,max_drawdown,benchmark_equity,benchmark_returns,benchmark_drawdown,benchmark_cagr,benchmark_max_drawdown,benchmark_sharpe_ratio
2019-01-11,3.57863008,3.713017963,3.550860051,3.690206766,874764000,0,0,13.95145607,16.14728084,9.559806522,0.880597027,-0.156844627,2.955480334,0,0,0,7,0,0,0,0,0,13419.86821,13419.86821,0,13419.86821,,,,,,0,0,0,0.341986821,1,1,0,0.833333333,long,0,13.52317295,0,0,1.144851398,0,291.5310719,8.53E-05,13419.86821,0,,0.062156622,0.359985195,0.156378563,-0.492948013,14424.89807,0.442489807,-0.484615495,0.526654282,-0.663081651,1.12687273
2019-01-14,3.63788987,3.755417114,3.614334764,3.730126381,730168000,0,0,14.88909155,16.06340156,12.54047153,0.937635477,-0.083879286,2.980665003,0,0,0,7,0,0,0,0,0,13421.01316,13421.01316,0,13421.01316,,,,,,0,0,0,0.342101316,1,1,0,0.833333333,long,0,13.52317295,0,0,1.144949074,0,292.676021,8.53E-05,13421.01316,0,,0.062156622,0.359985195,0.156378563,-0.492948013,14580.94254,0.458094254,-0.479040211,0.526654282,-0.663081651,1.12687273
2019-01-15,3.762855329,3.802279124,3.69764518,3.715993404,617012000,0,0,15.84902807,16.04910999,15.44886422,0.95993652,-0.014291566,2.908392692,0,0,0,7,0,0,0,0,0,13422.15821,13422.15821,0,13422.15821,,,,,,0,0,0,0.342215821,1,1,0,0.833333333,long,0,13.52317295,0,0,1.145046758,0,293.8210677,8.53E-05,13422.15821,0,,0.062156622,0.359985195,0.156378563,-0.492948013,14525.6972,0.45256972,-0.481014062,0.526654282,-0.663081651,1.12687273
2019-01-16,3.743267672,3.776244584,3.685000029,3.690454721,470104000,0,0,16.71247069,16.09333404,17.95074401,0.863442629,0.044224047,2.501879792,1,0,1,0,1,0,0,0,0,13423.30335,13423.30335,0,13423.30335,,,,,,0,0,0,0.342330335,1,1,0,0.833333333,long,0,13.52317295,0,0,1.14514445,0,294.9662122,8.53E-05,13423.30335,0,,0.062156622,0.359985195,0.156378563,-0.492948013,14425.86732,0.442586732,-0.484580865,0.526654282,-0.663081651,1.12687273
2019-01-17,3.657478042,3.801783605,3.630203633,3.761863947,493436000,0,0,17.80881793,16.20769963,21.01105455,1.096347241,0.114365593,3.060310535,0,0,1,1,0,0,1,0,3662.772593,0,0,0,13778.85216,,,,,,13778.85216,0,0,0.377885216,1,1,0,0.833333333,long,0,13.52317295,0,0,0,0,294.9662122,0.02648743,13778.85216,0,,0.062156622,0.359985195,0.156378563,-0.492948013,14705.00366,0.470500366,-0.474607655,0.526654282,-0.663081651,1.12687273
2019-01-18,3.8117021,3.917079978,3.760128905,3.891045332,651336000,0,0,19.25455602,16.41082339,24.94202127,1.445738081,0.203123759,3.930966725,0,0,1,2,0,0,0,0,3662.772593,0,0,0,14252.0142,,,,,,14252.0142,0,0,0.42520142,1,1,0,0.833333333,long,0,13.52317295,0,0,0,0,294.9662122,0.034339728,14252.0142,0,,0.062156622,0.359985195,0.156378563,-0.492948013,15209.96948,0.520996948,-0.456565825,0.526654282,-0.663081651,1.12687273
2019-01-22,3.860795101,3.87244863,3.658469706,3.688719273,661552000,0,0,19.94221524,16.64624951,26.53414671,0.687659228,0.235426124,1.592125436,0,0,1,3,0,0,0,0,3662.772593,0,0,0,13510.93986,,,,,,13510.93986,0,0,0.351093986,1,1,0,0.833333333,long,0,13.52317295,0,0,0,0,294.9662122,-0.051997867,14252.0142,-0.051997867,,0.062156622,0.359985195,0.156378563,-0.492948013,14419.08351,0.441908351,-0.484823243,0.526654282,-0.663081651,1.12687273
2019-01-23,3.744012387,3.832777662,3.670371897,3.701613188,591020000,0,0,20.66561345,16.91420711,28.16842614,0.723398207,0.267957596,1.634279429,0,0,1,4,0,0,0,0,3662.772593,0,0,0,13558.16734,,,,,,13558.16734,0,0,0.355816734,1,1,0,0.833333333,long,0,13.52317295,0,0,0,0,294.9662122,0.003495499,14252.0142,-0.048684127,,0.062156622,0.359985195,0.156378563,-0.492948013,14469.4854,0.44694854,-0.483022443,0.526654282,-0.663081651,1.12687273
2019-01-24,3.786162923,3.931212156,3.781451902,3.913608074,708972000,0,0,23.71907934,17.36786526,36.42150749,3.053465885,0.453658148,8.253081357,0,0,1,5,0,0,0,0,3662.772593,0,0,0,14334.6564,,,,,,14334.6564,0,0,0.43346564,1,1,0,0.833333333,long,0,13.52317295,0,0,0,0,294.9662122,0.057270945,14334.6564,0,,0.062156622,0.359985195,0.156378563,-0.492948013,15298.16651,0.529816651,-0.45341465,0.526654282,-0.663081651,1.12687273
2019-01-25,3.854100503,3.988984024,3.751450224,3.970883846,1154572000,0,0,26.87563098,18.00171631,44.62346033,3.156551643,0.633851048,8.201952834,0,0,1,6,0,0,0,0,3662.772593,0,0,0,14544.44452,,,,,,14544.44452,0,0,0.454444452,1,1,0,0.833333333,long,0,13.52317295,0,0,0,0,294.9662122,0.01463503,14544.44452,0,,0.062156622,0.359985195,0.156378563,-0.492948013,15522.05564,0.552205564,-0.445415357,0.526654282,-0.663081651,1.12687273
2019-01-28,3.385726861,3.511932237,3.248116004,3.421927214,2511528000,0,0,26.88267356,18.59378012,43.46046044,0.007042584,0.592063817,-1.162999883,0,0,1,7,0,0,0,0,3662.772593,0,0,0,12533.74121,,,,,,12533.74121,0,0,0.253374121,1,1,0,0.833333333,long,0,13.52317295,0,0,0,0,294.9662122,-0.138245452,14544.44452,-0.138245452,,0.062156622,0.359985195,0.156378563,-0.492948013,13376.20204,0.337620204,-0.522084161,0.526654282,-0.663081651,1.12687273
2019-01-29,3.375808837,3.424158813,3.248363698,3.26299262,1153932000,0,0,26.03832285,19.09008297,39.93480261,-0.844350711,0.496302849,-3.52565783,0,0,1,8,0,0,0,0,3662.772593,0,0,0,11951.59994,,,,,,11951.59994,0,0,0.195159994,1,1,0,0.833333333,long,0,13.52317295,0,0,0,0,294.9662122,-0.04644593,14544.44452,-0.178270444,,0.062156622,0.359985195,0.156378563,-0.492948013,12754.93189,0.275493189,-0.544281407,0.526654282,-0.663081651,1.12687273
2019-01-30,3.339112824,3.420935574,3.25952156,3.406554699,974228000,0,0,26.0188827,19.55200295,38.95264218,-0.019440155,0.461919982,-0.98216043,0,0,1,9,0,0,0,0,3662.772593,0,0,0,12477.43519,,,,,,12477.43519,0,0,0.247743519,1,1,0,0.833333333,long,0,13.52317295,0,0,0,0,294.9662122,0.043997059,14544.44452,-0.14211676,,0.062156622,0.359985195,0.156378563,-0.492948013,13316.11138,0.331611138,-0.524231129,0.526654282,-0.663081651,1.12687273
2019-01-31,3.403330901,3.599953529,3.381511425,3.564249039,842852000,0,0,26.84502212,20.03820423,40.45865789,0.826139421,0.486201278,1.506015707,0,0,1,10,0,0,0,0,3662.772593,0,0,0,13055.03369,,,,,,13055.03369,0,0,0.305503369,1,1,0,0.833333333,long,0,13.52317295,0,0,0,0,294.9662122,0.046291445,14544.44452,-0.102404105,,0.062156622,0.359985195,0.156378563,-0.492948013,13932.53342,0.393253342,-0.502207101,0.526654282,-0.663081651,1.12687273
2019-02-01,3.582845681,3.63962575,3.535239843,3.588548422,625048000,0,0,27.74618264,20.55206946,42.13440899,0.901160519,0.513865227,1.675751102,0,0,1,11,0,0,0,0,3662.772593,0,0,0,13144.03681,,,,,,13144.03681,0,0,0.314403681,1,1,0,0.833333333,long,0,13.52317295,0,0,0,0,294.9662122,0.006817532,14544.44452,-0.096284716,,0.062156622,0.359985195,0.156378563,-0.492948013,14027.51891,0.402751891,-0.498813382,0.526654282,-0.663081651,1.12687273
2019-02-04,3.604416965,3.736077276,3.582349674,3.698885202,528592000,0,0,29.17800056,21.12713153,45.27973863,1.431817927,0.575062074,3.145329634,0,0,1,12,0,0,0,0,3662.772593,0,0,0,13548.17535,,,,,,13548.17535,0,0,0.354817535,1,1,0,0.833333333,long,0,13.52317295,0,0,0,0,294.9662122,0.030746911,14544.44452,-0.068498262,,0.062156622,0.359985195,0.156378563,-0.492948013,14458.82179,0.445882179,-0.483403441,0.526654282,-0.663081651,1.12687273
2019-02-05,3.710786729,3.754673502,3.677065907,3.717977285,542424000,0,0,30.61658153,21.75976153,48.33022153,1.438580966,0.63263,3.0504829,0,0,1,13,0,0,0,0,3662.772593,0,0,0,13618.1053,,,,,,13618.1053,0,0,0.36181053,1,1,0,0.833333333,long,0,13.52317295,0,0,0,0,294.9662122,0.005161578,14544.44452,-0.063690244,,0.062156622,0.359985195,0.156378563,-0.492948013,14533.45213,0.453345213,-0.480736988,0.526654282,-0.663081651,1.12687273
2019-02-06,3.751202083,3.858067757,3.74574739,3.793601274,702464000,0,0,32.36414221,22.46672024,52.15898616,1.747560686,0.706958712,3.828764632,0,0,1,14,0,0,0,0,3662.772593,0,0,0,13895.09878,,,,,,13895.09878,0,0,0.389509878,1,1,0,0.833333333,long,0,13.52317295,0,0,0,0,294.9662122,0.020340089,14544.44452,-0.04464562,,0.062156622,0.359985195,0.156378563,-0.492948013,14829.06384,0.482906384,-0.470175132,0.526654282,-0.663081651,1.12687273
2019-02-07,3.747235694,3.749467181,3.61235215,3.655246973,637120000,0,0,33.25446039,23.18590292,53.39157533,0.890318176,0.719182677,1.232589175,0,0,1,15,0,0,0,0,3662.772593,0,0,0,13388.33843,,,,,,13388.33843,0,0,0.338833843,1,1,0,0.833333333,long,0,13.52317295,0,0,0,0,294.9662122,-0.036470438,14544.44452,-0.079487813,,0.062156622,0.359985195,0.156378563,-0.492948013,14288.24138,0.428824138,-0.489498077,0.526654282,-0.663081651,1.12687273
